"","s-42","s-43","s-44","s-82","s-83","s-84","s-52","s-53","s-54","s-92","s-93","s-94"
"ITGA1",1.78948031254409,1.23436578199638,0.0831018446034703,-0.211996513753235,1.03301470186358,0.0532941262525659,0.730471986611319,-1.04714849068453,-1.03095775076747,-0.568950206837556,-1.077959609483,-0.986716182345613
"PDCD1",0.582463464290466,1.77300024774389,0.971047707072435,-0.420046931685932,0.908789466870137,1.18268682392516,-0.782135398694096,-0.807675913297052,-0.85701790278363,-0.791266231257801,-0.880646413911712,-0.879198918271867
"CYBRD1",-0.455910989482567,0.414831853035104,0.983360889394642,-0.636637087891605,0.83458544679974,2.51381109876147,-0.657442828199128,-0.603263030342812,-0.578255669988779,-0.643879296920945,-0.60798856599563,-0.563211819169493
"RASL11A",-0.856858789503725,-0.732041572653645,-0.750656750072781,-0.746762175229777,-0.754460295290716,-0.619217433496893,-0.515402505732343,1.51287527819409,0.69442478564186,-0.165966584474892,1.84621270778415,1.08785333483468
"ATP8B1",-0.685856863458427,1.88694099122868,0.758265112416974,-0.570860682236511,1.73516616667796,0.746818649512803,-0.67607852803387,-0.609530687493476,-0.66499909256805,-0.648699321012104,-0.628843990743173,-0.642321754290806
"CD5",1.67575127198427,0.621556839047549,0.594401215381905,0.719117329469267,1.25972251743571,0.583588997305178,-1.00390886845436,-0.958102516276635,-0.73131329910734,-0.857032463833203,-0.964075915176727,-0.939705107775605
"IPCEF1",-0.755398719626566,0.496906666407859,0.700263266610442,-0.494555825308831,1.83453638303684,1.93546612871044,-0.682424339457572,-0.70003844315729,-0.526192719299204,-0.621021310391481,-0.67288941704244,-0.5146516704822
"ASMT",-0.741048218517937,1.0324851905228,0.569074215513517,-0.471259641642534,0.936428904280863,2.36909760439222,-0.550464642076211,-0.669527690660562,-0.724109630982769,-0.399057795007718,-0.69895718987733,-0.652661105944341
"BTBD19",0.207016822298265,0.538770167991963,2.23709937747916,-0.473937805171172,0.441464768441297,1.42904341427852,-0.707201678101433,-0.753696101312022,-0.765557746955671,-0.72972977725424,-0.733508249987738,-0.689763191706929
"CYB5R2",1.12531924854757,2.09722010202031,-0.323769655309083,0.123206161251896,1.13068621934798,0.484314208327429,-0.484503351496604,-0.783877587824743,-0.878528027961913,-0.737395702764887,-0.90467238652891,-0.847999227609046
"RAB6B",-0.669332643359396,-0.66020727763937,-0.603191345462102,-0.636853637449749,-0.669332643359396,-0.652328381674067,-0.584823117161377,1.42304458384969,2.02932314490893,-0.571732773004826,1.23836973085865,0.357064359493025
"RGS9",-0.319679444818653,-0.875617704706752,-0.800164617700588,-0.737062316468054,-0.893291607237659,-0.88336785302048,-0.249471405617597,0.826187848012579,2.21330651419588,-0.0176811189859121,1.19788671487062,0.538954991476613
"LMCD1",-0.29150166117651,1.20723715414241,0.550219362383346,-0.26565672940402,1.29361994568601,1.87042731596703,-0.633655820081133,-0.951490134057845,-0.869556566735356,0.0132838326995237,-0.974836460873751,-0.948090238549707
"GRIK4",-0.633437005320629,0.821235007106841,0.420919585623206,-0.628099408101703,2.16132756388773,1.5509140779014,-0.633437005320629,-0.60400524167746,-0.633437005320629,-0.62308890542116,-0.629106733846268,-0.569784929510692
"CDHR1",-0.741867979409686,1.40255288757579,0.55420252876551,-0.727237135168335,2.03992602717043,1.11566349572103,-0.669088865273473,-0.587240575060884,-0.491092153453471,-0.699320340946196,-0.629106096820419,-0.567391793100299
"CGNL1",-0.735719428781647,-0.612644125576162,-0.506332950675911,-0.666883051071056,-0.698857566120767,-0.675654383312109,-0.606415086519014,1.29438915541676,1.81811252135039,-0.620463375636796,1.58947957134383,0.420988719582486
"CXCL9",-0.700581734224601,2.11885940811617,0.0296622287201224,-0.700581734224601,1.88108464669054,0.390920415454496,-0.585706592093714,-0.692917852856729,-0.509998560745929,-0.53890618333217,-0.680285282713719,-0.0115487587898674
